problem_type,M_strategy,n_bits,layers,vseed,eta_req,eta_eff,d_eta,M_star,s_conv,norm_final,gap_pen,beta_pred,beta_fit,beta_ratio,se_beta,rel_se,z_beta,D_therm,D_pred,D_unif,R_therm,R_pred,D_shape,D_shell,R_shape,n_levels,entropy_bits,n_eff_states,p_max,E_min,E_mean,E_sd,contrast,n_shots,n_cells,G2_therm,p_therm,dG2_unif,p_vs_unif,n_shots_detect,beta_identified,verdict
TSP_rand,feasibility,9,5,42,0.5,0.8401172075568968,1.765254609153999e-14,1712836730.8760061,615707422.6240697,5.563800818174664,2.781900409087332,0.5185185185185185,0.7302382947361993,1.408316711276956,0.013072655155500058,0.017901903049637506,16.195621600911267,0.20599267732888693,0.3713229806863371,3.4582803020121373,0.9404349389466684,0.8926278530776439,0.20590737936040748,8.529796847944748e-05,0.940458135206476,83,4.010756158283055,16.11973540766706,0.1400195345928192,0.00666666317340501,1.2922590902210374,3.6483277195502106,2.6641486125631526,1000,12,109.39188410434188,7.076146912188483e-19,6727.885845302437,0.0,167.35279955333107,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,43,0.5,0.840117115646292,1.3988810110276972e-14,1122505221.7487245,403503022.02377576,5.56380081675117,2.781900408375585,0.5185185185185185,0.7302382488128136,1.4083166227104265,0.01307265429243448,0.01790190299356049,16.195619157222218,0.20599269031643866,0.3713229290229444,3.4582800429808325,0.9404349307296452,0.8926278599743224,0.20590738896740785,8.53013490308141e-05,0.9404581279103307,83,4.010756531986255,16.119739583183936,0.1400195192743844,0.006666661346198035,1.2922594147518631,3.64832760855337,2.6641483639654533,1000,12,109.40120074987178,7.045614879748387e-19,6727.881375503806,0.0,167.33854772884297,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,44,0.5,0.8401170683286255,1.5987211554602254e-14,1187622138.299048,426910372.0439455,5.56380081661167,2.781900408305835,0.5185185185185185,0.7302382250808738,1.4083165769416852,0.013072653846353623,0.01790190296448235,16.19561789448059,0.20599269703335243,0.3713229023471941,3.458279909579208,0.9404349264896789,0.8926278635460785,0.20590739394554042,8.530308781201645e-05,0.9404581241440171,83,4.010756724444109,16.11974173358343,0.1400195113881071,0.006666661637602542,1.2922595832935793,3.648327552077474,2.6641482361427036,1000,12,109.40538215701683,7.0319545882361685e-19,6727.897425874581,0.0,167.33215215135564,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,45,0.5,0.840117139024727,1.454392162258955e-14,1525936003.5997815,548522872.4578072,5.563800819325571,2.7819004096627853,0.5185185185185185,0.7302382601946568,1.408316644661124,0.013072654506509481,0.017901903007690605,16.195619762666656,0.20599268705454277,0.3713229418395072,3.4582801088385846,0.9404349328071859,0.8926278583130125,0.20590738656595622,8.530048858654271e-05,0.9404581297534824,83,4.010756436973607,16.119738521574213,0.14001952317079053,0.006666662747561699,1.2922593337365238,3.648327638465965,2.6641484273334672,1000,12,109.39918160310576,7.052220739266796e-19,6727.8845034385295,0.0,167.34163624452037,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,46,0.5,0.8401170316080984,1.1657341758564144e-14,1083759051.8640354,389575071.93817717,5.563800817502103,2.7819004087510515,0.5185185185185185,0.7302382065396087,1.4083165411835312,0.01307265349798168,0.017901902941958172,16.1956169077516,0.20599270217025,0.3713228814210692,3.4582798060627504,0.9404349232213305,0.8926278663831368,0.20590739773421693,8.530443603307902e-05,0.940458121242932,83,4.010756873786755,16.1197434022417,0.14001950526801854,0.006666661157447342,1.2922597135221823,3.6483275086904063,2.664148136815201,1000,12,109.35157642521474,7.20977068899084e-19,6727.914915908039,0.0,167.41448684825576,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,47,0.5,0.8401171563586929,1.4210854715202004e-14,1622032997.9551024,583066522.5622017,5.563800819252363,2.7819004096261817,0.5185185185185185,0.7302382689015428,1.4083166614529754,0.013072654670111379,0.017901903018279024,16.19562022601951,0.20599268459741332,0.3713229516316052,3.458280157693603,0.9404349343591659,0.8926278569983619,0.20590738474641104,8.529985100227955e-05,0.9404581311317817,83,4.010756366490739,16.119737734044378,0.14001952605978468,0.006666662978554599,1.2922592723268642,3.6483276591452887,2.664148474199873,1000,12,109.39729117627252,7.058411082832631e-19,6727.885985676829,0.0,167.3445279716927,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,48,0.5,0.8401171591360684,1.2323475573339238e-14,1767532370.6353083,635368672.6966397,5.563800818612997,2.7819004093064983,0.5185185185185185,0.7302382703764586,1.408316664297456,0.013072654697731815,0.017901903019945105,16.195620304625255,0.20599268422116304,0.3713229533150486,3.4582801655147932,0.9404349346026742,0.8926278567544067,0.20590738447227996,8.529974888307756e-05,0.9404581313474721,83,4.010756355207164,16.119737607969036,0.14001952652268018,0.006666663280741261,1.292259262635092,3.6483276621173983,2.664148481751198,1000,12,109.39748431080375,7.057778400654307e-19,6727.883848717957,0.0,167.34423253521933,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,49,0.5,0.8401170773058307,1.3655743202889425e-14,1503998075.670097,540636922.3671879,5.563800818800226,2.781900409400113,0.5185185185185185,0.7302382292890038,1.4083165850573647,0.013072653925623203,0.01790190296987243,16.195618118177347,0.2059926958317238,0.3713229071192974,3.4582799348605215,0.9404349272725859,0.8926278629511022,0.20590739307363023,8.530275809356946e-05,0.9404581248371068,83,4.010756687970913,16.11974132605553,0.14001951288430756,0.006666662691513478,1.292259553041098,3.6483275645025097,2.6641482605685765,1000,12,109.40240260942608,7.041685798470154e-19,6727.886408218816,0.0,167.3367094014608,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,50,0.5,0.8401170736300179,1.2101430968414206e-14,1403964831.144549,504678322.26570976,5.563800818079802,2.781900409039901,0.5185185185185185,0.7302382275415149,1.4083165816872074,0.013072653892675631,0.017901902967593458,16.195618025320712,0.20599269629295508,0.3713229051066361,3.4582799244926195,0.94043492696064,0.8926278632111845,0.20590739340128153,8.530289167354987e-05,0.9404581245615499,83,4.010756702928617,16.119741493183245,0.14001951227167178,0.006666662409622189,1.2922595656090152,3.6483275595320617,2.6641482505635534,1000,12,109.3569677309101,7.191753070014515e-19,6727.908680048564,0.0,167.40623330305277,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,51,0.5,0.8401170057770313,1.454392162258955e-14,1654142666.0842261,594608872.5229294,5.563800819404822,2.781900409702411,0.5185185185185185,0.7302381933078858,1.4083165156652082,0.013072653249386872,0.017901902925906165,16.19561620356581,0.20599270596562108,0.37132286664564407,3.4582797331986606,0.9404349208688527,0.8926278683933422,0.20590740057958173,8.530538603934712e-05,0.9404581191492398,83,4.010756978907475,16.119744576792833,0.14001950096284108,0.0066666630505873205,1.2922598079104217,3.6483274796287284,2.664148067319595,1000,12,109.355143697385,7.197843909854505e-19,6727.912799454957,0.0,167.40902562329973,True,near-thermal (small but resolvable deviation)
