problem_type,M_strategy,n_bits,layers,vseed,eta_req,eta_eff,d_eta,M_star,s_conv,norm_final,gap_pen,beta_pred,beta_fit,beta_ratio,se_beta,rel_se,z_beta,D_therm,D_pred,D_unif,R_therm,R_pred,D_shape,D_shell,R_shape,n_levels,entropy_bits,n_eff_states,p_max,E_min,E_mean,E_sd,contrast,n_shots,n_cells,G2_therm,p_therm,dG2_unif,p_vs_unif,n_shots_detect,D_split_unif,D_feas_unif,D_infeas_unif,D_split_therm,D_feas_therm,D_infeas_therm,frac_split,n_feasible,p_feasible,S_in_feas,beta_band,se_beta_band,band_ratio,D_in_feas,D_in_feas_glob,R_in_feas,R_in_feas_glob,n_cells_feas,p_flat_feas,p_therm_feas,n_shots_detect_flat,feas_structured,beta_identified,verdict,verdict_base
NPP,optimality,9,5,55,0.5,0.9999853936345999,1.765254609153999e-14,113705179.99827862,35874880.41699848,3.172149723580873,3.1694929342371285,0.5185185185185185,3.5344504754416297,6.816440202637429,1.3309764838160034,0.3765723959251962,2.2659543527592776,0.0003553856662606978,0.688467982837569,2.9422971368662516,0.999879214895801,0.766010042217954,0.00035538566626125596,-5.581472783955377e-16,0.9998792148958009,120,4.7551625118212115,27.005147289138193,0.0373320803431344,0.012879652688154062,0.01743478985787037,0.029208816782332975,0.10323711636340424,1000,5,0.3654921687821777,0.9472750199976695,4743.973405045991,0.0,21381.38261427024,2.9422683369874134,7.553455902474996e-06,2.1246422936077503e-05,2.0508880307958762e-05,0.0001843503186718187,0.00015052646728114762,0.9999902117707701,27,0.9999853936346176,7.553566232179295e-06,0.0,7.288507024214392,0.0,7.553566232179295e-06,0.00018435301139926256,,,5,0.999971615899258,0.9995083965267507,628038.9506310516,False,False,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,56,0.5,0.8879190632170503,1.609823385706477e-14,549897511.0659375,154509076.42005798,3.561787519652116,3.5589981107061437,0.5185185185185185,3.289178964517989,6.343416574427551,1.5113833355123765,0.4595017029527493,1.8331950478071035,0.00021971893191984065,0.5736768902319456,2.9424021559023954,0.9999253266819836,0.8050311072940312,0.00021971893191915105,6.896067918094051e-16,0.9999253266819839,120,4.7550110013786,27.00231138351421,0.03735819242977035,0.0008987950948749052,0.006371751595333652,0.016383503113176354,0.05388827380497466,1000,5,0.3491107836105737,0.950542221884106,4743.274268112212,0.0,22384.664897571183,2.9423869364459216,6.730500063645049e-06,8.488956410324334e-06,1.609906240694317e-05,0.00017576525700022225,2.7854612512832837e-05,0.9999948275403336,27,0.9999936405063774,6.730542866045504e-06,0.0,6.883039888487763,0.0,6.730542866045504e-06,0.00017576637478491745,,,5,0.9999774515581258,0.9995863036754618,704830.9150684099,False,False,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,57,0.5,0.9999763806679153,1.6764367671839864e-14,28479973.344504833,8965816.41482021,3.178333352599242,3.176506413563002,0.5185185185185185,3.4881165942991834,6.727082003291283,1.263552284709945,0.3622448535049076,2.350198018487499,0.00038965738981740883,0.6859227397012073,2.942185163692645,0.9998675619078548,0.7668662230488827,0.0003896573898170487,3.601177515910603e-16,0.9998675619078549,120,4.755324054963512,27.008171310485814,0.03721074577145236,0.023311429805156363,0.02611567453238909,0.04003231056357341,0.1396373667849389,1000,5,0.1493368272538105,0.9853210315137433,4747.795748954008,0.0,52329.54286600311,2.942144292725509,3.1438976439090465e-06,3.772706949205088e-05,1.5107006852386418e-05,7.554926865106234e-05,0.00029900111431411586,0.9999861086352958,27,0.999976380667932,3.1439719019812787e-06,0.0,11.264348790367842,0.0,3.1439719019812787e-06,7.555105311647398e-05,,,5,0.9999950682997935,0.9998676428770834,1508911.8846401435,False,False,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,58,0.5,0.9999923873042806,1.6764367671839864e-14,240027280.6081921,75929860.41925545,3.163997395513029,3.1611711029475607,0.5185185185185185,3.58479916138773,6.913541239819194,1.4089792646585224,0.39304273439772985,2.176242560682644,0.0003256764651344972,0.6914822929933454,2.942389242027823,0.999889315641696,0.7649929237381277,0.00032567646513229423,2.2029903942732965e-15,0.9998893156416967,120,4.755029632161392,27.002660090227913,0.03740057794258228,0.001463850972282479,0.0069773946417861655,0.016984831869136987,0.060887211040793865,1000,5,0.5184676473411494,0.9148158161696774,4741.804915460834,0.0,15072.73972315793,2.9423684376318437,1.0537343558861157e-05,1.0267052419963434e-05,2.6222069074214922e-05,0.0002612575793233424,3.819681673711069e-05,0.9999929294208658,27,0.9999923873042974,1.0537423776617609e-05,0.0,6.1925174227591775,0.0,1.0537423776617609e-05,0.0002612595682129346,,,5,0.9999448706653619,0.9991914323196682,450195.48732836836,False,False,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,59,0.5,0.6652523539189801,1.0880185641326534e-14,788639207.2923481,157804768.4346252,5.000326613192576,4.997562590252542,0.5185185185185185,2.3884393767926455,4.606275940957246,1.2093516008517347,0.5063354810687019,1.5462177062131144,0.0001712686690194361,0.2855278818424763,2.9424078454509885,0.9999417930219007,0.9029611471829416,0.00017126866901872847,7.076316529269766e-16,0.9999417930219009,120,4.755002793095064,27.002157752988584,0.037268492372208736,0.0021541554375831646,0.007703899410833509,0.02148251669961452,0.0513096887979649,1000,5,0.2672710142761362,0.9660616095107805,4746.0980129553855,0.0,29238.96526683302,2.9423943700211854,4.982044042016907e-06,8.493385760683435e-06,1.1525458376707897e-05,0.00013430836867533248,2.54348419672551e-05,0.9999954202712503,27,0.9999941395991115,4.9820732385192e-06,0.0,5.699718351773549,0.0,4.9820732385192e-06,0.00013430915578127242,,,5,0.999987630761055,0.9997362592062369,952192.40913452,False,False,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,60,0.5,0.9999929248211636,1.6986412276764895e-14,159433802.69408226,50440276.416553326,3.163636820231888,3.1608431598872007,0.5185185185185185,3.6363390187164004,7.0129395360959155,1.5290954992406267,0.4205041090421722,2.038996584416239,0.00027475281570251667,0.6915978975400752,2.942394188117775,0.9999066227030994,0.7649540294998731,0.0002747528157038149,-1.298223681334143e-15,0.9999066227030989,120,4.755022496461949,27.00252653297251,0.03739949969566632,0.0011367106620609965,0.006625496174619656,0.015990693475233363,0.058147582620324836,1000,5,0.4360765777429842,0.9326931098276534,4741.921965865726,0.0,17920.540341098163,2.9423763445930384,8.665288695053326e-06,9.178236041051055e-06,2.1234535216636913e-05,0.00021974521116092737,3.377306932511144e-05,0.99999393571235,27,0.9999929248211806,8.66535000351021e-06,0.0,6.828937424952672,0.0,8.66535000351021e-06,0.00021974676590814706,,,5,0.9999626725669533,0.9993963551485444,547456.0266333652,False,False,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,61,0.5,0.8879160783722944,1.6986412276764895e-14,489172087.35086024,138580516.4181409,3.5326126067659502,3.52987634910289,0.5185185185185185,3.3258549886563404,6.414148906694371,1.549514547137724,0.4658996115052312,1.8117522519059641,0.00021214855087870013,0.5816488104052946,2.9424046412581033,0.999927899600244,0.8023219504722521,0.00021214855087744663,1.253500341719116e-15,0.9999278996002444,120,4.755007415768245,27.00224427324886,0.03735925538760404,0.0003964337947351475,0.005839951684385145,0.015681553182844088,0.05215457188304173,1000,5,0.3405886692361016,0.9522225142751299,4743.25200405389,0.0,22944.767718722556,2.942389970370351,6.536956138751028e-06,8.133931612888993e-06,1.555840062145907e-05,0.00017147073894930204,2.5119411308089155e-05,0.9999950139802165,27,0.9999938445351232,6.536996376558591e-06,0.0,7.041893777215398,0.0,6.536996376558591e-06,0.00017147179443791007,,,5,0.9999787269863268,0.9996039733476486,725699.3037697742,False,False,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,52,0.75,0.6657843196213964,8.548717289613705e-15,1017102187.9976616,94515188.4590756,10.76467587469499,10.761256519507016,0.5185185185185185,1.175098668735268,2.26626171827516,0.8055555863377313,0.6855216568364702,0.8150649829166184,7.286605687101396e-05,0.015026750226267867,2.942419441685961,0.9999752360061795,0.9948930631665288,7.286605687195028e-05,-9.363169961584816e-16,0.9999752360061792,120,4.754986063264376,27.00184463143803,0.037147242434404225,0.00481884454155438,0.010534021940403862,0.03783115882558997,0.044455344372663255,1000,5,0.10357561112363678,0.9914049112764642,4749.9702657683165,0.0,75449.4983758565,2.942410382879316,1.7532635333035103e-06,7.305543111164426e-06,3.343307420918985e-06,5.1920565903499263e-05,1.7602183546442654e-05,0.9999969213068278,27,0.9999952048114441,1.753271940128966e-06,0.0,4.464125984404078,0.0,1.753271940128966e-06,5.1920814873596555e-05,,,5,0.9999984648287831,0.999944833200902,2705733.86676023,False,False,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,53,0.75,0.8883184131844024,1.3100631690576847e-14,919760789.4586399,152150576.460207,6.047871509046191,6.045069370467955,0.5185185185185185,2.0668158010510442,3.986001902027014,1.326651011010698,0.6418815892234092,1.1670720254854126,8.855040486377701e-05,0.1691420056848855,2.942418486087234,0.9999699055707805,0.9425159927166556,8.855040486471398e-05,-9.36967517461973e-16,0.9999699055707801,120,4.754987441901923,27.00187043437877,0.03722556773365168,0.0006353311452965921,0.006093415090483923,0.021406345867713963,0.044242973882154944,1000,5,0.13369312047370724,0.9875080451019377,4747.547532875307,0.0,58452.73021948846,2.94240904525451,2.3127689428547417e-06,7.128063781539807e-06,4.622608059247487e-06,6.712939617981256e-05,1.6798400624723728e-05,0.999996791471788,27,0.9999951163853705,2.3127802371380286e-06,0.0,6.916965983910386,0.0,2.3127802371380286e-06,6.712972401551483e-05,,,5,0.9999973296699255,0.999916447471711,2051162.3238567428,False,False,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,54,0.75,0.8883013201921711,1.5210055437364645e-14,512245458.9558765,84754340.48797137,6.047257060877215,6.043884667223341,0.5185185185185185,2.00541617754698,3.8675883424120334,1.0983595408019575,0.547696559496926,1.353744018960145,0.00013893323011017987,0.1692223715511346,2.9424100413926237,0.9999527825054443,0.9424885147988951,0.00013893323011067438,-4.945046108706386e-16,0.9999527825054441,120,4.754999625020929,27.00209845789072,0.03723101886641661,0.003559558109508464,0.009190039272119144,0.025235302394643593,0.05060728366750831,1000,5,0.20971862551941253,0.9760053377697507,4747.300447038281,0.0,37262.91779710243,2.942397917496756,3.8104275077929252e-06,8.31346836040603e-06,8.522647855076847e-06,0.00010531224145558481,2.5098340799818456e-05,0.9999958796035573,27,0.9999943767914361,3.810448934297891e-06,0.0,5.389782921352047,0.0,3.810448934297891e-06,0.00010531283365116848,,,5,0.9999927587364341,0.9998234646579651,1244969.1036454123,False,False,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
