problem_type,n_bits,layers,vseed,eta_eff,n_1qb,n_2qb,shots,HQC,cost_usd
NPP,12,5,54,0.9999941582134374,97,144,100,38.14,569.2537313432836
NPP,12,5,55,0.9999938078261454,97,135,100,36.34,542.3880597014926
NPP,12,5,56,0.9999942878989551,97,150,100,39.34,587.1641791044776
NPP,12,5,57,0.999993354023364,97,123,100,33.94,506.56716417910445
NPP,12,5,58,0.9999942151418888,97,144,100,38.14,569.2537313432836
NPP,12,5,59,0.9999937431926412,97,111,100,31.54,470.74626865671644
NPP,12,5,60,0.9999942221951348,97,147,100,38.74,578.2089552238806
NPP,12,5,61,0.999994280151051,97,150,100,39.34,587.1641791044776
NPP,12,10,52,0.9999501831679961,154,276,100,65.68,980.2985074626866
NPP,12,10,53,0.9999557560513903,154,300,100,70.48,1051.9402985074628
NPP,12,10,54,0.999952828541016,154,300,100,70.48,1051.9402985074628
NPP,12,10,55,0.9999450201993747,154,285,100,67.47999999999999,1007.1641791044775
NPP,12,10,56,0.9999555643921246,154,300,100,70.48,1051.9402985074628
NPP,12,10,57,0.9999358727301905,154,264,100,63.28,944.4776119402985
NPP,12,10,58,0.9999539855895003,154,300,100,70.48,1051.9402985074628
NPP,12,10,59,0.9999441601488726,152,246,100,59.64,890.1492537313433
NPP,12,10,60,0.9999540687671865,154,300,100,70.48,1051.9402985074628
NPP,12,10,61,0.9999552938465939,154,300,100,70.48,1051.9402985074628
NPP,12,20,52,0.9999477749419305,272,567,100,126.24,1884.1791044776119
NPP,12,20,53,0.9999664442724808,274,600,100,132.88,1983.2835820895523
NPP,12,20,54,0.9999534028514572,274,591,100,131.07999999999998,1956.417910447761
NPP,12,20,55,0.9999262148768069,274,588,100,130.48000000000002,1947.4626865671646
NPP,12,20,56,0.9999640778303408,274,600,100,132.88,1983.2835820895523
NPP,12,20,57,0.999882625050764,272,537,100,120.24,1794.6268656716418
NPP,12,20,58,0.999957853487408,274,600,100,132.88,1983.2835820895523
NPP,12,20,59,0.9999158606337654,272,543,100,121.44,1812.5373134328358
NPP,12,20,60,0.9999598668335521,274,600,100,132.88,1983.2835820895523
NPP,12,20,61,0.9999639537176259,274,600,100,132.88,1983.2835820895523
NPP,15,5,52,0.9999931347704375,122,165,100,43.44,648.3582089552239
NPP,15,5,53,0.999993160580691,122,198,100,50.04,746.8656716417911
NPP,15,5,54,0.9999931414544877,122,177,100,45.84,684.179104477612
NPP,15,5,55,0.9999931140631414,122,162,100,42.84,639.4029850746269
NPP,15,5,56,0.9999931603192003,122,198,100,50.04,746.8656716417911
NPP,15,5,57,0.9999930619011507,121,132,100,36.82,549.5522388059702
NPP,15,5,58,0.9999931116362332,122,165,100,43.44,648.3582089552239
NPP,15,5,59,0.9999931117255825,119,156,100,41.58,620.5970149253732
NPP,15,5,60,0.9999931522698676,122,198,100,50.04,746.8656716417911
NPP,15,5,61,0.9999931557455451,122,198,100,50.04,746.8656716417911
NPP,15,10,52,0.9999459287833217,191,372,100,86.22,1286.865671641791
NPP,15,10,53,0.9999467201083699,193,444,100,100.66,1502.3880597014925
NPP,15,10,54,0.9999460908119404,192,396,100,91.04,1358.8059701492539
NPP,15,10,55,0.9999454269288836,191,348,100,81.42,1215.223880597015
NPP,15,10,56,0.9999465840163622,193,447,100,101.26,1511.3432835820897
NPP,15,10,57,0.999944407918323,189,309,100,73.58,1098.2089552238806
NPP,15,10,58,0.9999455178968036,191,366,100,85.02,1268.955223880597
NPP,15,10,59,0.9999453652732827,191,345,100,80.82,1206.2686567164178
NPP,15,10,60,0.9999463454848383,193,429,100,97.66,1457.6119402985075
NPP,15,10,61,0.9999464295207214,193,441,100,100.06,1493.4328358208957
NPP,15,20,52,0.9999843772919638,341,822,100,179.22,2674.9253731343283
NPP,15,20,53,0.9999845865511392,341,849,100,184.62,2755.522388059702
NPP,15,20,54,0.9999848443901113,341,843,100,183.42,2737.6119402985073
NPP,15,20,55,0.9999833003226074,339,792,100,173.18,2584.7761194029854
NPP,15,20,56,0.9999854965509206,340,849,100,184.6,2755.223880597015
NPP,15,20,57,0.9999793957245853,339,729,100,160.58,2396.716417910448
NPP,15,20,58,0.999982554797841,339,789,100,172.58,2575.820895522388
NPP,15,20,59,0.9999830978080481,339,711,100,156.98,2342.9850746268658
NPP,15,20,60,0.9999855088416824,340,843,100,183.4,2737.313432835821
NPP,15,20,61,0.9999856407322755,342,843,100,183.44,2737.910447761194
TSP_rand,9,5,42,0.8401172075568968,70,180,100,44.2,659.7014925373135
TSP_rand,9,5,43,0.840117115646292,70,180,100,44.2,659.7014925373135
TSP_rand,9,5,44,0.8401170683286255,70,180,100,44.2,659.7014925373135
TSP_rand,9,5,45,0.840117139024727,70,180,100,44.2,659.7014925373135
TSP_rand,9,5,46,0.8401170316080984,70,180,100,44.2,659.7014925373135
TSP_rand,9,5,47,0.8401171563586929,70,180,100,44.2,659.7014925373135
TSP_rand,9,5,48,0.8401171591360684,70,180,100,44.2,659.7014925373135
TSP_rand,9,5,49,0.8401170773058307,70,180,100,44.2,659.7014925373135
TSP_rand,9,5,50,0.8401170736300179,70,180,100,44.2,659.7014925373135
TSP_rand,9,5,51,0.8401170057770313,70,180,100,44.2,659.7014925373135
TSP_rand,9,10,42,0.9914874783779335,129,360,100,81.38,1214.6268656716418
TSP_rand,9,10,43,0.9914859647103432,129,360,100,81.38,1214.6268656716418
TSP_rand,9,10,44,0.9914851500334523,129,360,100,81.38,1214.6268656716418
TSP_rand,9,10,45,0.9914863583037049,129,360,100,81.38,1214.6268656716418
TSP_rand,9,10,46,0.991484502704427,129,360,100,81.38,1214.6268656716418
TSP_rand,9,10,47,0.9914866465492622,129,360,100,81.38,1214.6268656716418
TSP_rand,9,10,48,0.9914866922115784,129,360,100,81.38,1214.6268656716418
TSP_rand,9,10,49,0.9914853054072638,129,360,100,81.38,1214.6268656716418
TSP_rand,9,10,50,0.9914852430925247,129,360,100,81.38,1214.6268656716418
TSP_rand,9,10,51,0.9914840351652277,129,360,100,81.38,1214.6268656716418
TSP_rand,9,20,42,0.9966273816423374,226,720,100,155.32,2318.2089552238804
TSP_rand,9,20,43,0.9969116662384101,226,720,100,155.32,2318.2089552238804
TSP_rand,9,20,44,0.9969755276813843,226,720,100,155.32,2318.2089552238804
TSP_rand,9,20,45,0.9966967744964935,226,720,100,155.32,2318.2089552238804
TSP_rand,9,20,46,0.9970102777491026,226,720,100,155.32,2318.2089552238804
TSP_rand,9,20,47,0.9966225775118829,226,720,100,155.32,2318.2089552238804
TSP_rand,9,20,48,0.9967779492820708,226,720,100,155.32,2318.2089552238804
TSP_rand,9,20,49,0.9969852356451367,226,720,100,155.32,2318.2089552238804
TSP_rand,9,20,50,0.9969840370927601,226,720,100,155.32,2318.2089552238804
